ID,F1_of_all,F2_of_all,F3_of_all,F4_of_all,F5_of_all,F6_of_all,F1_of_first_five,F2_of_first_five,F3_of_first_five,F4_of_first_five,F5_of_first_five,F6_of_first_five,F1_of_the_rest,F2_of_the_rest,F3_of_the_rest,F4_of_the_rest,F5_of_the_rest,F6_of_the_rest,Mw,charge_of_all,charge_of_first_five,charge_of_the_rest,positive_charge,negative_charge,polar_number,unpolar_number,unpolar_ratio,ph_number,length,hydrophobicity,jinpu_ug_ml,jinpu_uM,dachang_ug_ml,dachang_uM
29,-0.812,0.478,-0.594,0.088,0.132,-0.481,-0.757,0.387,-0.953,0.07,0.22,-0.313,-0.456,0.499,-0.391,0.034,0.101,-0.207,1579.0,-2,-1,0,2,4,7,6,0.462,1,13,-0.19,40.5,63.95,20.0,31.58
30,-0.791,0.573,-0.731,0.139,0.177,-0.66,-0.718,1.005,-0.991,0.092,0.104,-0.489,-0.864,0.141,-0.471,0.185,0.25,-0.831,1177.7,2,1,1,2,0,6,4,0.4,1,10,-0.366,42.5,50.052,10.6,12.484
31,-1.095,-0.028,-0.274,0.297,0.025,-1.264,-1.057,-0.451,-0.379,0.288,0.248,-1.284,-1.134,0.395,-0.169,0.306,-0.198,-1.243,924.3,1,1,0,1,0,3,7,0.7,0,10,-0.13,32.0,29.578,8.0,7.394
32,-0.736,0.223,-0.426,0.053,0.365,-0.579,-0.675,0.045,-0.29,0.007,0.521,-0.374,-0.986,0.362,-0.934,0.126,0.364,-1.037,1083.5,1,0,1,2,1,4,5,0.556,1,9,-0.028,30.0,32.505,15.0,16.253
33,-0.801,0.445,-0.462,0.158,-0.188,-0.585,-0.741,0.494,-0.254,0.122,-0.396,-0.594,-1.309,0.723,-0.966,0.208,-0.086,-0.886,967.2,-1,0,-1,0,1,6,2,0.25,2,8,-0.059,274.0,265.013,302.0,292.094
34,-0.841,0.358,-0.422,0.104,0.032,-0.713,-0.718,0.835,-0.237,0.02,-0.278,-0.45,-0.789,0.039,-0.358,0.147,0.215,-0.697,1266.7,-1,-1,0,0,1,5,6,0.545,3,11,0.129,170.0,215.339,170.0,215.339
35,-1.047,0.147,-0.685,0.318,0.049,-1.12,-1.043,0.087,-0.742,0.344,0.007,-1.261,-1.114,0.262,-0.912,0.314,0.42,-0.857,876.3,1,1,1,1,0,3,6,0.667,0,9,-0.126,80.0,70.104,80.0,70.104
36,-0.57,0.034,-0.198,-0.08,0.717,-0.304,-0.637,0.128,0.072,-0.102,0.578,-0.368,-1.094,0.241,-1.311,0.09,0.862,-0.941,1076.5,1,0,1,1,0,2,6,0.75,4,8,0.205,12.5,13.456,25.0,26.912
37,-0.652,0.29,-0.126,-0.035,0.395,-0.347,-0.451,0.293,-0.117,-0.162,0.662,0.109,-1.379,0.204,-0.785,0.166,0.532,-0.898,1044.4,1,1,1,1,0,3,5,0.625,3,8,0.006,16.0,16.71,64.0,66.842
38,-0.804,-0.142,-0.246,0.174,0.157,-0.858,-0.739,-0.389,-0.298,0.164,0.498,-0.825,-1.661,-0.024,-0.785,0.409,-0.316,-2.06,926.2,1,1,0,1,0,4,4,0.5,2,8,-0.132,10.0,10.0,5.8,5.372
39,-0.235,-0.075,0.098,-0.206,0.758,-0.118,-0.145,-0.051,0.363,-0.231,0.871,-0.049,-0.698,-0.173,-1.194,-0.105,1.254,-0.385,1273.6,2,1,2,2,0,2,6,0.75,4,8,-0.02,4.0,5.094,32.0,40.755
40,-0.757,-0.205,-0.735,0.054,0.486,-0.584,-0.817,-0.232,-0.567,0.085,0.441,-0.717,-1.926,-0.516,-1.444,0.16,1.264,-1.487,804.3,2,1,1,2,0,2,5,0.714,1,7,0.024,40.0,32.172,10.0,10.0
41,-0.262,0.014,0.1,-0.214,0.786,0.204,-0.329,0.022,-0.171,-0.168,0.79,0.231,-1.329,-0.078,1.793,-1.4,3.437,0.876,950.2,3,3,2,3,0,3,3,0.5,3,6,-0.442,10.0,10.0,160.0,152.032
42,-0.949,0.901,-0.818,0.153,-0.469,-0.824,-0.994,0.719,-0.807,0.164,-0.428,-0.988,-4.512,4.702,-4.303,0.695,-2.064,-3.569,734.7,-5,-4,-4,0,5,5,1,0.167,0,6,-0.478,10.0,7.347,10.0,7.347
